============================== SRIM-2013.00 ==============================
==============================================================================
====== SRIM Outputs\RANGE_3D.txt : File of Final Ion Positions =====

Ion =  F (09)   Ion Mass= 018.9984
Energy  = 4000000.E-05 keV
Ion Angle to Surface = 00.0 degrees
==================== TARGET =======================
  Layer # 1 - None
  Layer # 1 - Bottom Depth=500000.E-01 A
  Layer # 1 - Density =0007.8700 g/cm3
  Layer # 1 -  100 % of Fe
様様様様様様様様様様様様様様様様様様様様様様様様様様
                                            
Ion       Depth  X   Lateral Y   Lateral Z  
Number    (Angstrom) (Angstrom)  (Angstrom) 
-------  ----------- ----------- -----------
0000001   3.3536E+02  6.5116E+01  7.1805E+01
0000002   5.9823E+01  1.5681E+02  2.0890E+02
0000003   6.4635E+02  4.0015E+01 -3.7547E+02
0000004   1.0019E+02 -3.3601E+01 -5.0214E+02
0000005   1.6992E+02 -5.0809E+02  2.3236E+02
0000006   2.4622E+02 -1.1950E+02  2.9028E+02
0000007   6.9923E+02 -1.2131E+02 -7.6576E+01
0000008   5.5718E+02  6.1631E+02  2.1737E+02
0000009   3.6980E+02 -3.3841E+01 -9.6276E+01
0000010   5.8414E+02 -2.9952E+02 -3.3664E+02
0000011   3.5700E+02  4.5857E+01 -7.0726E+01
0000012   3.8522E+02 -1.7361E+02 -1.1884E+01
0000013   2.2903E+02 -1.9352E+02 -3.9860E+02
0000014   2.4455E+02  3.9948E+01 -3.0654E+01
0000015   4.4191E+02  2.2263E+02 -1.7891E+01
0000016   5.5951E+02  4.2618E+02 -9.6717E+00
0000017   3.8602E+02  1.8125E+01  1.8166E+02
0000018   9.0517E+02  1.4595E+02 -1.8156E+01
0000019   3.5574E+02  1.3386E+02  5.6214E+01
0000020   5.5415E+02 -1.0630E+02 -7.6180E+00
0000021   1.5195E+02  1.2094E+02 -3.4681E+02
0000022   1.4869E+02  1.7261E+02  2.2589E+02
0000023   5.5728E+02 -1.2562E+01  2.2445E+01
0000024   3.2299E+02  2.6334E+02  1.2754E+02
0000026   2.6334E+02 -8.2423E+01  2.5394E+02
0000027   7.5447E+02  3.7384E+02  1.0944E+02
0000029   2.7095E+02  2.0039E+02  5.6537E+02
0000030   8.4765E+02  3.7194E+02 -6.6450E+01
0000031   4.8884E+02 -3.1536E+01 -9.1249E+01
0000032   4.0327E+02  1.7118E+02  4.0663E+01
0000033   5.5491E+02 -2.3032E+01  1.5589E+02
0000034   4.8827E+02  2.0544E+02  2.1045E+02
0000035   7.3550E+02 -1.1592E+02 -5.6100E+01
0000036   7.1872E+02  1.2673E+02  6.9124E+01
0000038   3.5557E+02 -5.2931E+01  2.8074E+02
0000039   5.6391E+02 -2.0503E+02  1.9720E+02
0000040   4.7159E+02 -1.6710E+02  8.5521E+01
0000041   1.0006E+02 -1.5347E+01 -2.3250E+02
0000042   2.9508E+02  3.0248E+02 -6.7615E+01
0000043   3.2946E+02  1.3261E+02 -1.4421E+02
0000044   6.5197E+02  7.2445E+01 -5.5711E+00
0000045   4.7781E+02 -1.0134E+02  1.2471E+02
0000046   6.9543E+02 -1.1061E+02  9.6014E+01
0000047   4.8317E+01  3.7284E+02 -4.4961E+01
0000048   3.1077E+02 -1.5110E+02  7.6970E+01
0000049   5.0847E+02 -3.0556E+02  1.1789E+02
0000050   1.9311E+02  4.7402E+02 -4.0583E+02
0000051   5.3287E+02  1.9807E+02 -7.6831E+01
0000052   3.2348E+02 -1.7704E+02 -2.2336E+01
0000053   4.7831E+02 -1.7305E+02 -2.8264E+02
0000054   1.0193E+03  1.5633E+02  2.7981E+02
0000055   6.4502E+02  6.4110E+01  2.8102E+01
0000056   6.3067E+02 -2.4066E+01 -6.8230E+01
0000057   1.3814E+02 -1.6009E+02 -2.1067E+02
0000058   5.7098E+02 -2.1262E+02  6.6740E+01
0000059   7.5670E+02 -2.6007E+02  2.3264E+02
0000060   9.5299E+01  1.4759E+02 -4.3042E+02
0000061   4.1221E+01 -1.2970E+02  2.4909E+02
0000062   1.1829E+02  8.6799E+01  1.1507E+02
0000063   2.5150E+02  1.0600E+02  1.0611E+02
0000064   3.1301E+02 -9.5631E+01  1.8545E+02
0000065   4.2506E+02  2.2408E+02  2.9053E+02
0000066   2.6789E+02  3.1020E+02  1.7739E+02
0000067   4.2474E+02  6.3574E+01  2.1129E+02
0000068   4.6089E+02  6.7550E+01 -3.7995E+01
0000069   5.6893E+02 -3.1256E+01 -1.1895E+02
0000070   5.4364E+02 -1.5720E+01 -1.1138E+02
0000071   2.7747E+02  3.6900E+01  1.1955E+02
0000072   4.3131E+02  2.8963E+02  3.2570E+02
0000073   3.5102E+02 -2.8409E+02  4.3194E+01
0000074   2.2237E+02  3.6922E+02  5.5838E+01
0000075   4.4961E+02 -2.1486E+02  8.9953E+00
0000076   7.4727E+02 -1.5224E+02  2.6544E+01
0000077   6.1831E+02 -9.5118E+01 -1.1896E+02
0000078   2.7741E+02  1.0367E+02  5.5973E+02
0000079   1.4683E+02 -3.0404E+01 -3.3097E+02
0000081   2.8645E+02  1.5436E+02  2.6339E+02
0000082   5.8121E+02 -6.8576E+01  2.1291E+02
0000083   5.2313E+02 -4.0458E+02  1.7737E+02
0000084   5.0450E+02 -1.2600E+02 -2.0398E+02
0000088   2.1124E+02 -3.6543E+02 -2.3034E+02
0000089   5.8760E+02  2.3374E+02  1.3121E+02
0000090   6.5715E+02 -1.6085E+02 -6.1638E+01
0000091   1.6052E+02 -2.6834E+02 -3.5353E+02
0000092   6.2376E+02  1.7821E+01 -3.5703E+01
0000093   8.0264E+02 -1.0010E+02  4.8868E+01
0000094   4.5228E+02  2.7880E+00 -3.1191E+01
0000095   5.1345E+02  5.3314E+01  1.2916E+02
0000096   2.7140E+02 -4.0399E+02 -8.5878E+01
0000097   6.0122E+02 -2.9376E+02 -1.1848E+02
0000098   4.9568E+02  3.3911E+02  1.7450E+01
0000099   6.0943E+02 -1.6633E+02 -3.8995E+02
0000100   7.6367E+02 -1.1962E+02 -1.6845E+02
0000101   5.5923E+02  2.1951E+02  7.8752E+01
0000103   5.0977E+02  5.0635E+01  1.3095E+02
0000104   3.3061E+02  4.4883E+02  2.1261E+02
0000105   1.7399E+02  1.4553E+02 -1.5707E+02
0000106   1.2441E+02 -2.3343E+01 -2.8003E+02
0000107   3.4251E+02  1.6470E+02 -3.2753E+02
0000109   6.8875E+02 -6.6040E+01 -1.1382E+02
0000110   6.0091E+01 -1.0699E+02  2.4202E+02
0000111   3.3714E+02 -4.9023E+01 -1.7271E+01
0000112   6.3908E+02  1.1416E+02 -1.2249E+02
0000114   6.5666E+02 -1.6014E+02 -2.4123E+01
0000115   1.9368E+02 -1.2588E+02  2.4832E+02
0000116   4.1884E+02  8.0467E+01 -1.9658E+02
